Wall time,Step,Value
1687169101.2000241,2037,0.59375
1687169176.0774539,2078,0.609375
1687169190.390234,2086,0.65625
1687169197.5940998,2090,0.71875
1687169210.6051772,2097,0.65625
1687169376.3322618,2188,0.703125
1687169383.495581,2192,0.6875
1687169398.2307181,2200,0.640625
1687169420.1119618,2212,0.625
1687169456.3934329,2232,0.71875
1687169465.3436458,2237,0.671875
1687169467.1331985,2238,0.625
1687169503.528667,2258,0.671875
1687169512.6346586,2263,0.765625
1687169594.6789117,2308,0.671875
1687169616.6262867,2320,0.65625
1687169663.792876,2346,0.703125
1687169996.2433887,2355,0.625
1687170060.092059,2390,0.71875
1687170061.9359007,2391,0.6875
1687170065.5315874,2393,0.625
1687170145.7968814,2437,0.765625
1687170176.712263,2454,0.640625
1687170180.2910287,2456,0.75
1687170189.2362049,2461,0.734375
1687170234.740336,2486,0.71875
1687170236.527509,2487,0.734375
1687170255.0030746,2497,0.5625
1687170258.5843413,2499,0.59375
1687170267.543547,2504,0.6875
1687170293.1507273,2518,0.59375
1687170304.1912284,2524,0.578125
1687170320.4760416,2533,0.71875
1687170347.9114676,2548,0.578125
1687170358.6682372,2554,0.625
1687170598.9533534,2686,0.71875
1687170631.88928,2704,0.75
1687170699.070489,2741,0.671875
1687170724.7571528,2755,0.625
1687170788.300597,2790,0.734375
1687170983.385244,2897,0.734375
1687171428.6579804,2968,0.703125
1687171443.3108835,2976,0.6875
1687171508.9461567,3012,0.78125
1687171558.1154091,3039,0.734375
1687171563.4906707,3042,0.71875
1687171669.2623131,3100,0.6875
1687171782.1751277,3162,0.875
1687171846.026652,3197,0.6875
1687171907.8904192,3231,0.765625
1687171926.2236636,3241,0.640625
1687171933.422614,3245,0.765625
1687171936.9799795,3247,0.734375
1687171938.767029,3248,0.796875
1687172044.4340265,3306,0.640625
1687172117.0961962,3346,0.75
1687172173.6608548,3377,0.78125
1687172231.8104615,3409,0.734375
1687172271.8273413,3431,0.828125
1687172306.2688754,3450,0.765625
1687172333.7050545,3465,0.8125
1687172362.7287948,3481,0.765625
1687172899.159506,3601,0.609375
1687172932.0793872,3619,0.65625
1687172935.6699927,3621,0.765625
1687173001.661773,3657,0.8125
1687173027.1271122,3671,0.734375
1687173129.0920727,3727,0.796875
1687173136.2607894,3731,0.703125
1687173156.484083,3742,0.71875
1687173251.4621887,3794,0.734375
1687173289.832054,3815,0.765625
1687173298.7902315,3820,0.6875
1687173302.7632315,3822,0.796875
1687173320.714407,3832,0.734375
1687173380.9220157,3865,0.828125
1687173497.6148236,3929,0.84375
1687173548.4398472,3957,0.703125
1687173599.9236958,3985,0.6875
1687173668.8266673,4023,0.765625
1687173689.0463207,4034,0.734375
1687173694.4551053,4037,0.78125
1687173798.398218,4094,0.703125
1687173807.7520006,4099,0.78125
1687173827.502803,4110,0.640625
1687174276.0295293,4183,0.734375
1687174297.92149,4195,0.71875
1687174301.5127861,4197,0.734375
1687174312.8782396,4203,0.75
1687174358.237304,4228,0.796875
1687174367.1700628,4233,0.78125
1687174372.7013102,4236,0.734375
1687174423.6722145,4264,0.75
1687174429.0544388,4267,0.84375
1687174498.256504,4305,0.734375
1687174522.1796489,4318,0.796875
1687174525.7941473,4320,0.71875
1687174673.6149442,4401,0.78125
1687174733.6728566,4434,0.828125
1687174840.9591763,4493,0.8125
1687174871.9923408,4510,0.78125
1687174910.4391823,4531,0.78125
1687174997.8144493,4579,0.71875
1687175003.2639856,4582,0.734375
1687175088.905955,4629,0.765625
1687175154.5753582,4665,0.8125
1687175162.0157714,4669,0.71875
1687175176.579322,4677,0.71875
1687175560.410304,4714,0.609375
1687175627.8732257,4751,0.75
1687175642.6505964,4759,0.6875
1687175697.2240372,4789,0.828125
1687175718.968614,4801,0.8125
1687175722.56416,4803,0.8125
1687175792.0781033,4841,0.765625
1687175813.8525145,4853,0.828125
1687175890.8541384,4895,0.859375
1687176015.2362738,4963,0.734375
1687176031.5695953,4972,0.765625
1687176036.9485996,4975,0.78125
1687176176.0244684,5051,0.75
1687176179.5933793,5053,0.71875
1687176181.3804483,5054,0.71875
1687176278.0543427,5107,0.734375
1687176329.076375,5135,0.765625
1687176449.1822202,5201,0.796875
1687176520.775026,5240,0.640625
1687177002.5482938,5330,0.703125
1687177031.751751,5346,0.65625
1687177057.0669253,5360,0.78125
1687177168.278221,5421,0.703125
1687177208.2730072,5443,0.8125
1687177341.8709664,5516,0.6875
1687177345.4968536,5518,0.796875
1687177404.1382666,5550,0.78125
1687177473.4500644,5588,0.75
